Date,Time,Open,High,Low,Close,Volume,9SMA,21SMA,200SMA
2013-01-02,06:12:00,4429.75,4430.25,4429.75,4430,60,4429.9288524977,4429.95570746253,4404.04913510591
2013-01-02,06:13:00,4430,4430,4429,4429,325,4429.74308199816,4429.86882496594,4404.27493478821
2013-01-02,06:14:00,4429.25,4429.5,4429.25,4429.5,47,4429.69446559853,4429.83529542358,4404.50321592135
2013-01-02,06:15:00,4429.5,4429.5,4429.5,4429.5,67,4429.65557247882,4429.80481402144,4404.72943116188
2013-01-02,06:16:00,4429.25,4429.5,4429.25,4429.5,23,4429.62445798306,4429.77710365585,4404.95359920567
2013-01-02,06:17:00,4429.5,4430.75,4429.5,4430.75,51,4429.84956638645,4429.86554877805,4405.18705079657
2013-01-02,06:18:00,4430.75,4431,4430,4430.75,105,4430.02965310916,4429.94595343459,4405.41838970338
2013-01-02,06:19:00,4431,4431.5,4431,4431,133,4430.22372248733,4430.04177584962,4405.64989748887
2013-01-02,06:20:00,4431,4431.25,4430.5,4430.5,58,4430.27897798986,4430.08343259057,4405.87478529441
2013-01-02,06:21:00,4430.5,4430.5,4430.25,4430.5,24,4430.32318239189,4430.12130235506,4406.09763791617
2013-01-02,06:22:00,4430.5,4430.75,4430.25,4430.25,100,4430.30854591351,4430.13300214096,4406.3162113287
2013-01-02,06:23:00,4430,4430.75,4430,4430.5,19,4430.34683673081,4430.1663655827,4406.53506914473
2013-01-02,06:24:00,4430.5,4431.25,4430.5,4431.25,71,4430.52746938465,4430.26487780245,4406.75873367735
2013-01-02,06:25:00,4431.25,4431.25,4430.75,4431.25,68,4430.67197550772,4430.35443436586,4406.98037409656
2013-01-02,06:26:00,4431.25,4431.25,4430.5,4430.75,56,4430.68758040618,4430.39039487806,4407.19548383325
2013-01-02,06:27:00,4430.75,4431.25,4430.5,4431,65,4430.75006432494,4430.44581352551,4407.41090931892
2013-01-02,06:28:00,4431,4431.5,4430.5,4431.25,70,4430.85005145995,4430.51892138682,4407.62664769612
2013-01-02,06:29:00,4431.25,4432.75,4431.25,4432.25,111,4431.13004116796,4430.67629216984,4407.84948346358
2013-01-02,06:30:00,4432,4432.25,4431.75,4431.75,43,4431.25403293437,4430.77390197258,4408.06577773088
2013-01-02,06:31:00,4432,4432.5,4431.75,4432.5,62,4431.5032263475,4430.93081997507,4408.28690191431
2013-01-02,06:32:00,4432.75,4434.25,4432.5,4434,83,4432.002581078,4431.20983634098,4408.51959963454
2013-01-02,06:33:00,4434,4434.75,4433.75,4433.75,168,4432.3520648624,4431.44076030998,4408.74792904961
2013-01-02,06:34:00,4433.75,4435.25,4433.5,4435,219,4432.88165188992,4431.76432755453,4408.98550435233
2013-01-02,06:35:00,4435,4437,4434.75,4436.25,263,4433.55532151193,4432.17211595866,4409.23224186951
2013-01-02,06:36:00,4436.5,4436.75,4435.5,4435.5,84,4433.94425720955,4432.47465087151,4409.46995913766
2013-01-02,06:37:00,4435.5,4436.25,4435.25,4436,39,4434.35540576764,4432.79513715592,4409.71005000519
2013-01-02,06:38:00,4436.25,4436.5,4435.25,4436.5,266,4434.78432461411,4433.13194286902,4409.95249299157
2013-01-02,06:39:00,4436.25,4437.75,4436.25,4437.75,222,4435.37745969129,4433.55176624456,4410.20405414096
2013-01-02,06:40:00,4437.5,4438.5,4437.25,4437.75,235,4435.85196775303,4433.93342385869,4410.45333871887
2013-01-02,06:41:00,4437.75,4439.75,4437.75,4438.5,385,4436.38157420243,4434.34856714426,4410.70715465807
2013-01-02,06:42:00,4438.75,4438.75,4437.5,4438,140,4436.70525936194,4434.68051558569,4410.95414873356
2013-01-02,06:43:00,4437.75,4440.5,4437.75,4439.75,449,4437.31420748955,4435.14137780518,4411.21474467262
2013-01-02,06:44:00,4439.75,4441.75,4439.75,4441.25,305,4438.10136599164,4435.69670709561,4411.48655693803
2013-01-02,06:45:00,4441.25,4441.25,4441,4441,102,4438.68109279331,4436.17882463238,4411.75364692049
2013-01-02,06:46:00,4441,4442.5,4441,4442,175,4439.34487423465,4436.70802239307,4412.0273695728
2013-01-02,06:47:00,4441.75,4443,4441.75,4443,126,4440.07589938772,4437.28002035734,4412.30766487078
2013-01-02,06:48:00,4442.75,4443,4441.5,4441.5,208,4440.36071951018,4437.66365487031,4412.5718488991
2013-01-02,06:49:00,4441.5,4442,4441,4441.25,97,4440.53857560814,4437.98968624573,4412.83137967829
2013-01-02,06:50:00,4441.25,4442.25,4441.25,4441.25,94,4440.68086048651,4438.28607840521,4413.08856176265
2013-01-02,06:51:00,4441.25,4441.75,4440.25,4441,237,4440.74468838921,4438.53279855019,4413.34115396389
2013-01-02,06:52:00,4441,4441.75,4441,4441,124,4440.79575071137,4438.75708959108,4413.59146026286
2013-01-02,06:53:00,4441.75,4442,4441.25,4441.75,57,4440.9866005691,4439.02917235553,4413.84628867678
2013-01-02,06:54:00,4441.75,4442.25,4441.25,4441.25,161,4441.03928045528,4439.23106577775,4414.09428606432
